Parc.;Variedad;Image Name;Intensity;Hue;Saturation;Lightness;a*;b*;u*;v*;GA;GGA;CSI
26;QUC 3527-2022;R-002_Plot-026;0.528535;29.352304;0.22061616;58.329388;4.9645042;27.099205;21.677765;30.383251;1.62E-04;0;100
27;QUC 3556-2020;R-002_Plot-027;0.5951454;30.697882;0.20689839;65.044556;3.9766731;28.612024;21.441435;33.25928;3.25E-04;0;100
28;QUC 3537-2022;R-002_Plot-028;0.5500241;28.538494;0.21364695;60.354465;5.3252335;27.229286;22.508974;30.791925;1.61E-04;0;100
29;QUC 3642-2020;R-002_Plot-029;0.48837766;25.147432;0.22336584;53.796482;7.389464;25.175001;24.111748;27.183863;3.22E-04;0;100
30;QUC 3583-2021;R-002_Plot-030;0.5247132;27.01577;0.20987326;57.57745;5.8948345;25.707222;22.4271;28.690794;4.83E-04;0;100
31;QUC 3211-2020;R-002_Plot-031;0.5394029;27.423334;0.21703309;59.193;6.1294603;26.964827;23.54343;30.155426;1.61E-04;0;100
32;QUC 4344-2021;R-002_Plot-032;0.578972;29.536592;0.2159605;63.41153;5.037245;28.712948;23.03025;32.852036;0;0;NaN
33;QUC 4459-2021;R-002_Plot-033;0.54313916;30.221014;0.22611177;59.982254;4.7554774;28.310171;22.062012;31.905037;6.38E-04;0;100
34;QUC 4534-2021;R-002_Plot-034;0.5242174;29.198732;0.22141159;57.884136;5.0352845;26.981184;21.690084;30.17272;3.19E-04;0;100
35;QUC 3408-2020;R-002_Plot-035;0.502061;27.229116;0.22252929;55.41445;6.130666;25.923885;22.666292;28.466892;1.58E-04;0;100
36;QUC 3594-2020;R-002_Plot-036;0.553647;30.87392;0.23086447;61.18693;4.6000485;29.272703;22.369436;33.09384;1.58E-04;0;100
37;QUC 3559-2020;R-002_Plot-037;0.5071423;26.073984;0.21281713;55.71827;6.43826;25.155802;22.830132;27.712688;1.57E-04;0;100
38;QUC 3546-2022;R-002_Plot-038;0.52340084;28.235863;0.21858919;57.665337;5.5282035;26.571663;22.256294;29.630026;1.58E-04;0;100
39;QUC 3502-2020;R-002_Plot-039;0.54967386;26.74562;0.20693767;60.05369;6.1435065;26.368483;23.37613;29.71121;0;0;NaN
40;QUC 3658-2020;R-002_Plot-040;0.52216023;26.024618;0.22167915;57.342056;7.116473;26.51697;24.701996;29.17693;1.57E-04;0;100
41;QUC 3448-2017;R-002_Plot-041;0.5401986;25.357403;0.20424157;58.9196;6.805783;25.590565;23.946281;28.605787;1.57E-04;0;100
42;QUC 3306-2019;R-002_Plot-042;0.5370411;25.605488;0.20192844;58.60427;6.483988;25.297808;23.2679;28.33131;1.57E-04;0;100
43;QUC 3528-2020;R-002_Plot-043;0.5603744;28.578213;0.20031482;61.24818;4.7490635;26.391453;21.294674;30.23146;1.55E-04;0;100
