Parc.;Variedad;Area;Mean;StdDev;Min;Max;%Area;MinThr;MaxThr
99;QUC 3547-2022;496;45.2728;1.6261;40.7098;50.462;100;-3.40E+38;3.40E+38
100;QUC 4598-2021;459;42.8389;2.1353;39.2294;50.1017;100;-3.40E+38;3.40E+38
101;QUC 3518-2022;473;41.8082;1.5999;39.2276;48.7478;100;-3.40E+38;3.40E+38
102;QUC 3524-2022;491;45.4008;2.9488;40.1073;53.0144;100;-3.40E+38;3.40E+38
103;QUC 3414-2020;496;45.27;1.9941;40.8832;52.6002;100;-3.40E+38;3.40E+38
104;QUC 3544-2020;496;43.8964;1.6471;41.1678;47.9444;100;-3.40E+38;3.40E+38
105;QUC 3636-2020;491;45.1331;3.0746;39.2277;52.4466;100;-3.40E+38;3.40E+38
106;QUC 3421-2020;496;46.2587;1.8683;42.537;51.2498;100;-3.40E+38;3.40E+38
107;QUC 4454-2021;488;45.0468;2.4591;39.7092;53.5489;100;-3.40E+38;3.40E+38
108;QUC 3859-2021;474;48.0923;2.2274;43.0024;53.7961;100;-3.40E+38;3.40E+38
109;QUC 3532-2022;480;47.2914;2.1192;43.6067;53.5265;100;-3.40E+38;3.40E+38
110;QUC 3655-2020;480;45.9268;1.5239;42.0171;49.265;100;-3.40E+38;3.40E+38
111;QUC 3534-2020;480;44.731;1.8024;40.9587;50.0717;100;-3.40E+38;3.40E+38
112;QUC 3648-2020;457;48.8814;1.7188;44.2401;54.0879;100;-3.40E+38;3.40E+38
113;QUC 4541-2021;480;46.3933;2.1507;42.658;52.8378;100;-3.40E+38;3.40E+38
114;QUC 3311-2019;480;45.8797;2.3499;41.6167;53.3725;100;-3.40E+38;3.40E+38
115;QUC 3649-2020;465;48.8812;2.7741;43.8832;54.2382;100;-3.40E+38;3.40E+38
116;QUC 3454-2020  ;480;47.0549;2.4421;42.3596;52.9934;100;-3.40E+38;3.40E+38
117;QUC 4483-2021;478;47.3455;2.0878;43.31;53.6297;100;-3.40E+38;3.40E+38
118;QUC 3410-2020;455;47.9083;2.739;41.7023;53.9734;100;-3.40E+38;3.40E+38
119;QUC 3638-2020;471;46.9014;1.9214;43.0212;52.7034;100;-3.40E+38;3.40E+38
120;QUC 4546-2021;368;49.5193;2.4361;43.9566;54.2126;100;-3.40E+38;3.40E+38
121;QUC 4481-2021;360;49.3539;2.7718;42.7634;54.2575;100;-3.40E+38;3.40E+38
122;QUC 3409-2020;450;48.662;2.3781;43.2428;54.2334;100;-3.40E+38;3.40E+38
123;QUC 3404-2020;415;51.0368;1.7187;46.5616;54.2592;100;-3.40E+38;3.40E+38
124;QUC 3741-2020;416;49.7387;2.1872;44.3501;54.2605;100;-3.40E+38;3.40E+38
125;QUC 3528-2022;424;48.5155;2.2736;43.105;54.0741;100;-3.40E+38;3.40E+38
126;QUC 3407-2020;443;48.1533;2.6856;42.3491;54.1547;100;-3.40E+38;3.40E+38
127;QUC 3631-2020;432;49.9009;1.9045;45.2322;54.2538;100;-3.40E+38;3.40E+38
128;QUC 3401-2018;464;48.0056;2.0329;43.8389;52.7157;100;-3.40E+38;3.40E+38
129;QUC 3657-2020;464;46.1348;1.8333;41.5047;51.3419;100;-3.40E+38;3.40E+38
130;QUC 3311-2019;436;43.8772;2.9262;39.3126;53.5892;100;-3.40E+38;3.40E+38
131;QUC 3626-2020;464;46.1684;1.6766;40.742;50.5897;100;-3.40E+38;3.40E+38
132;QUC 4568-2021;471;47.0364;2.0496;42.8309;53.273;100;-3.40E+38;3.40E+38
133;QUC 3622-2021;480;44.9196;1.8855;41.5724;52.4996;100;-3.40E+38;3.40E+38
134;QUC 3492-2018;480;46.6476;2.2764;41.5804;53.6365;100;-3.40E+38;3.40E+38
135;QUC 4323-2021;474;48.4324;1.9948;44.4108;54.1914;100;-3.40E+38;3.40E+38
136;QUC 3594-2017  ;480;45.6989;1.9028;41.1172;51.0625;100;-3.40E+38;3.40E+38
137;QUC 3635-2020;480;46.6019;2.4006;41.8159;54.2366;100;-3.40E+38;3.40E+38
138;QUC 3536-2022;480;45.9051;2.4406;40.94;53.1156;100;-3.40E+38;3.40E+38
139;QUC 3646-202;480;44.8839;2.2544;40.1075;52.6674;100;-3.40E+38;3.40E+38
140;QUC 3214-2020;480;43.9911;1.8593;40.2414;50.0261;100;-3.40E+38;3.40E+38
141;QUC 3487-2018  ;480;44.3468;2.2241;40.4251;51.0393;100;-3.40E+38;3.40E+38
142;QUC 4423-2021;480;45.8418;2.2418;40.3978;53.5709;100;-3.40E+38;3.40E+38
143;QUC 3531-2018;480;43.8971;1.6731;40.2285;48.9744;100;-3.40E+38;3.40E+38
144;QUC 4470-2021;480;45.5097;2.5046;41.5748;53.6898;100;-3.40E+38;3.40E+38
145;QUC 3313-2019;496;43.994;1.8644;39.7884;50.3887;100;-3.40E+38;3.40E+38
146;QUC 3679-2016;463;42.0967;1.6236;39.228;46.4135;100;-3.40E+38;3.40E+38
147;QUC 4636-2021;496;44.6587;1.7816;41.2742;49.4614;100;-3.40E+38;3.40E+38
148;QUC 3572-2018;496;44.478;1.819;40.9842;52.7728;100;-3.40E+38;3.40E+38
149;QUC 3635-2020;496;44.0155;2.2084;39.8568;50.663;100;-3.40E+38;3.40E+38
150;QUC 3419-2020;465;42.2502;1.7432;39.2865;46.9571;100;-3.40E+38;3.40E+38
151;QUC 3581-2018;488;43.1758;2.0374;39.2818;49.9147;100;-3.40E+38;3.40E+38
152;QUC 3588-2020;496;45.8295;2.544;41.0304;53.3998;100;-3.40E+38;3.40E+38
153;QUC 4539-2021;496;43.0203;1.6737;39.9888;48.612;100;-3.40E+38;3.40E+38
154;QUC 3507-2020;496;43.6787;2.2329;39.7003;50.5198;100;-3.40E+38;3.40E+38
155;QUC 3501-2020;496;43.7763;1.7506;40.8899;51.2752;100;-3.40E+38;3.40E+38
156;QUC 3595-2020;496;47.0587;2.2977;42.1931;53.999;100;-3.40E+38;3.40E+38
157;QUC 3319-2020;483;46.4935;2.6774;41.141;54.2223;100;-3.40E+38;3.40E+38
158;QUC 3598-2020;477;46.8167;2.5745;42.4854;54.21;100;-3.40E+38;3.40E+38
159;QUC 3597-2020;467;45.3545;3.1322;40.7123;54.2312;100;-3.40E+38;3.40E+38
160;QUC 3679-2016  ;448;46.8308;2.8799;40.4636;54.0712;100;-3.40E+38;3.40E+38
161;QUC 3634-2020;448;48.6506;2.3265;43.5246;54.0663;100;-3.40E+38;3.40E+38
162;QUC 3418-2020;480;45.4198;1.6227;42.2886;50.696;100;-3.40E+38;3.40E+38
163;CBC 509 CHILE/SOMAT_3.1//BOOMER_18/LOTUS_4/6/ZAMPULLIN_2/GUANAY/5/NETTA_4/DUKEM_12//RASCON_19/3/SORA/2*PLATA_12/4/GREEN_18/FOCHA_1//AIRON_1/7/ZAKA/3/AJAIA_12/F3LOCAL(SEL.ETHIO.135.85)//PLATA_13/4/SOOTY_9/RASCON_37//WODUCK/CHAM_3/8/SELIM//SOUAI/FUMA_1;480;46.4622;2.2368;41.7862;51.5657;100;-3.40E+38;3.40E+38
164;QUC 3310-2020;480;45.5567;1.8421;41.2974;51.1083;100;-3.40E+38;3.40E+38
165;QUC 3656-2020;480;46.0803;1.8224;41.3924;53.9069;100;-3.40E+38;3.40E+38
166;QUC 4533-2021;450;45.0838;2.6425;40.9272;54.2299;100;-3.40E+38;3.40E+38
167;QUC 3589-2020;480;47.1762;2.1188;42.7935;53.3411;100;-3.40E+38;3.40E+38
168;QUC 3536-2018;480;45.7527;2.3836;39.4698;50.9257;100;-3.40E+38;3.40E+38
169;QUC 3558-2018;471;46.8262;2.4172;41.3115;53.4828;100;-3.40E+38;3.40E+38
170;QUC 3522-2020;464;45.8653;2.2326;41.6493;52.6512;100;-3.40E+38;3.40E+38
171;QUC 35783-2020;464;44.964;2.1317;41.2829;51.4505;100;-3.40E+38;3.40E+38
172;QUC 3313-2020;464;44.9472;1.8525;40.8572;50.5795;100;-3.40E+38;3.40E+38
173;QUC 3529-2017;464;43.7415;2.0727;40.2441;51.3393;100;-3.40E+38;3.40E+38
174;QUC 3545-2020;464;43.1523;1.7493;40.3269;48.722;100;-3.40E+38;3.40E+38
175;QUC 3519-2022;422;44.4919;1.9682;41.2529;53.4571;100;-3.40E+38;3.40E+38
176;QUC 4628-2021;452;46.2426;2.819;40.2023;53.7976;100;-3.40E+38;3.40E+38
177;QUC 4222-2021;463;48.6596;2.0754;44.6513;54.1108;100;-3.40E+38;3.40E+38
178;QUC 4548-2021;450;46.9253;2.3447;41.2723;53.7175;100;-3.40E+38;3.40E+38
179;QUC 3534-2018  ;462;45.6654;2.126;41.2788;53.7687;100;-3.40E+38;3.40E+38
180;QUC 3663-2020;464;43.9694;1.943;40.9836;50.294;100;-3.40E+38;3.40E+38
181;QUC 3526-2022;460;45.9036;2.6423;40.8161;53.829;100;-3.40E+38;3.40E+38
182;QUC 4614-2021;471;45.2555;1.9579;40.4513;50.7139;100;-3.40E+38;3.40E+38
183;QUC 3573-2020;480;45.057;1.8286;40.2586;50.0895;100;-3.40E+38;3.40E+38
184;QUC 3533-2022;477;44.6966;2.5291;39.2747;51.192;100;-3.40E+38;3.40E+38
185;QUC 4553-2021;480;45.9564;2.3087;40.6594;52.6089;100;-3.40E+38;3.40E+38
186;QUC 4224-2021;480;46.9316;1.8265;43.1056;52.7897;100;-3.40E+38;3.40E+38
