Parc.;Variedad;Image Name;Intensity;Hue;Saturation;Lightness;a*;b*;u*;v*;GA;GGA;CSI
439;QUC 3624-2020;R-018_Plot-439;0.48711136;32.63987;0.29649264;55.32093;5.3294044;32.18015;24.08004;34.3371;3.55E-04;0;100
440;QUC 3656-2020;R-018_Plot-440;0.57860154;37.915237;0.3215208;65.99077;2.6374745;40.157303;24.313276;44.53425;4.44E-04;0;100
441;QUC 4592-2021;R-018_Plot-441;0.45914626;33.596336;0.26308948;52.034687;3.3332038;28.142767;18.90483;30.435444;0.002505369;0;100
442;QUC 4557-2021;R-018_Plot-442;0.45503917;31.028538;0.2649353;51.352077;4.9833174;27.771637;21.207186;29.600197;1.79E-04;0;100
443;QUC 3536-2020;R-018_Plot-443;0.48210883;34.19326;0.29291606;54.925426;4.028303;31.82525;21.83717;34.2161;5.41E-04;0;100
444;QUC 3617-2020;R-018_Plot-444;0.49851528;31.173248;0.27017528;56.01953;5.5350494;30.329103;23.72873;32.819252;4.51E-04;0;100
445;QUC 3454-2017;R-018_Plot-445;0.5268708;38.433987;0.32741153;60.706898;2.138023;37.868687;21.955309;41.294193;2.68E-04;0;100
446;QUC 3584-2020;R-018_Plot-446;0.6007259;33.68714;0.25567216;66.649185;3.943862;34.121613;24.015186;38.94421;2.71E-04;0;100
447;LLEUQUE-INIA;R-018_Plot-447;0.62573355;36.55562;0.28528726;70.04127;2.8986669;38.764076;24.651304;44.22786;3.61E-04;0;100
448;QUC 3613-2017 ;R-018_Plot-448;0.57041925;34.75831;0.30143863;64.38406;4.5681777;37.299793;26.108543;41.203568;0;0;NaN
449;QUC 4561-2021;R-018_Plot-449;0.4513893;26.065502;0.24611199;50.256264;7.41404;25.518923;23.861788;26.812626;1.82E-04;0;100
450;QUC 3314-2019;R-018_Plot-450;0.48296738;30.274466;0.26719582;54.249844;5.8896847;29.21191;23.592052;31.34244;1.80E-04;0;100
451;QUC 4483-2021;R-019_Plot-451;0.44135156;29.936512;0.2480529;49.60239;4.892461;25.671389;19.965311;27.347391;0.00261544;0;100
452;QUC 3212-2020;R-019_Plot-452;0.46455595;31.556135;0.26471323;52.41674;4.719886;28.292513;21.150764;30.360424;0.001181818;0;100
453;QUC 4534-2021;R-019_Plot-453;0.5070562;29.26437;0.2540415;56.50302;6.278725;29.101366;24.436613;31.641066;9.02E-05;0;100
454;QUC 3526-2017;R-019_Plot-454;0.55470365;37.37776;0.32559043;63.479454;3.0710278;39.12788;24.295584;42.894173;5.41E-04;0;100
