Parc.;Variedad;Area;Mean;StdDev;Min;Max;%Area;MinThr;MaxThr
93;QUC 3584-2018;740;23.5821;0.1668;23.2594;24.4523;100;-3.40E+38;3.40E+38
94;QUC 4605-2021;730;23.6336;0.1626;23.2203;24.2379;100;-3.40E+38;3.40E+38
95;QUC 3521-2020;720;23.2919;0.1478;22.8538;23.7823;100;-3.40E+38;3.40E+38
96;QUC 3525-2022;720;23.2952;0.1643;23.0468;24.3846;100;-3.40E+38;3.40E+38
97;QUC 3326-2019;731;24.3749;0.3335;23.4108;25.2583;100;-3.40E+38;3.40E+38
98;QUC 3317-2019;730;23.4227;0.2257;22.7495;24.4992;100;-3.40E+38;3.40E+38
99;QUC 3547-2022;720;23.3504;0.23;22.7614;24.1158;100;-3.40E+38;3.40E+38
100;QUC 4598-2021;720;23.7903;0.4263;23.1147;25.3023;100;-3.40E+38;3.40E+38
101;QUC 3518-2022;720;23.5865;0.5056;23.0651;26.0145;100;-3.40E+38;3.40E+38
102;QUC 3524-2022;720;23.6358;0.2793;23.2251;25.4478;100;-3.40E+38;3.40E+38
103;QUC 3414-2020;730;23.6007;0.2162;22.9224;24.3418;100;-3.40E+38;3.40E+38
104;QUC 3544-2020;731;23.6446;0.231;23.2434;24.4583;100;-3.40E+38;3.40E+38
105;QUC 3636-2020;720;23.314;0.1684;22.7054;23.9174;100;-3.40E+38;3.40E+38
106;QUC 3421-2020;720;23.4088;0.2432;22.9918;24.5948;100;-3.40E+38;3.40E+38
107;QUC 4454-2021;730;23.3467;0.2168;22.8894;24.073;100;-3.40E+38;3.40E+38
108;QUC 3859-2021;740;23.8666;0.2151;23.3015;24.6159;100;-3.40E+38;3.40E+38
109;QUC 3532-2022;740;23.0593;0.168;22.6882;23.9631;100;-3.40E+38;3.40E+38
110;QUC 3655-2020;731;23.9202;0.2536;23.6022;25.4249;100;-3.40E+38;3.40E+38
111;QUC 3534-2020;730;23.1619;0.1399;22.764;23.8118;100;-3.40E+38;3.40E+38
112;QUC 3648-2020;740;23.8873;0.4078;23.0023;24.8443;100;-3.40E+38;3.40E+38
113;QUC 4541-2021;740;23.7977;0.347;23.3294;26.0664;100;-3.40E+38;3.40E+38
114;QUC 3311-2019;740;23.313;0.2199;22.9572;24.4412;100;-3.40E+38;3.40E+38
115;QUC 3649-2020;751;24.0425;0.3106;23.3509;25.078;100;-3.40E+38;3.40E+38
116;QUC 3454-2020  ;750;24.6854;0.2246;24.1263;25.4646;100;-3.40E+38;3.40E+38
117;QUC 4483-2021;740;24.5942;0.2759;23.9768;25.5805;100;-3.40E+38;3.40E+38
118;QUC 3410-2020;740;23.6398;0.3198;22.9512;24.6108;100;-3.40E+38;3.40E+38
119;QUC 3638-2020;751;23.788;0.3629;23.1214;24.8847;100;-3.40E+38;3.40E+38
120;QUC 4546-2021;760;24.6746;0.3335;23.7219;25.4522;100;-3.40E+38;3.40E+38
121;QUC 4481-2021;760;23.7088;0.2258;22.9969;24.4686;100;-3.40E+38;3.40E+38
122;QUC 3409-2020;750;24.0572;0.2177;23.6337;24.8021;100;-3.40E+38;3.40E+38
123;QUC 3404-2020;751;24.7153;0.2289;24.2862;25.4098;100;-3.40E+38;3.40E+38
124;QUC 3741-2020;760;24.3491;0.3281;23.8828;26.0701;100;-3.40E+38;3.40E+38
125;QUC 3528-2022;741;23.5977;0.2256;23.1958;24.4494;100;-3.40E+38;3.40E+38
126;QUC 3407-2020;741;24.9576;0.2614;24.4535;26.2679;100;-3.40E+38;3.40E+38
127;QUC 3631-2020;760;25.7396;0.2717;25.0337;26.8792;100;-3.40E+38;3.40E+38
128;QUC 3401-2018;751;24.0314;0.2708;23.6145;25.0715;100;-3.40E+38;3.40E+38
129;QUC 3657-2020;750;23.8807;0.2384;23.4683;24.6486;100;-3.40E+38;3.40E+38
130;QUC 3311-2019;760;23.9695;0.3758;23.3551;25.0441;100;-3.40E+38;3.40E+38
131;QUC 3626-2020;760;26.2872;0.8644;24.9754;29.3616;100;-3.40E+38;3.40E+38
132;QUC 4568-2021;751;25.1588;0.6199;24.023;27.1425;100;-3.40E+38;3.40E+38
133;QUC 3622-2021;740;24.9991;0.3415;24.3525;26.2438;100;-3.40E+38;3.40E+38
134;QUC 3492-2018;740;23.377;0.1319;23.155;23.8077;100;-3.40E+38;3.40E+38
135;QUC 4323-2021;750;23.9639;0.1969;23.451;24.5745;100;-3.40E+38;3.40E+38
136;QUC 3594-2017  ;751;23.386;0.1949;23.0241;24.157;100;-3.40E+38;3.40E+38
137;QUC 3635-2020;740;24.0541;0.2005;23.423;24.624;100;-3.40E+38;3.40E+38
138;QUC 3536-2022;740;23.7035;0.2062;23.343;24.4484;100;-3.40E+38;3.40E+38
139;QUC 3646-202;740;23.9584;0.2608;23.5068;24.7923;100;-3.40E+38;3.40E+38
140;QUC 3214-2020;730;23.4415;0.2544;22.9921;24.6992;100;-3.40E+38;3.40E+38
141;QUC 3487-2018  ;576;22.6639;0.1583;22.4533;23.3189;100;-3.40E+38;3.40E+38
142;QUC 4423-2021;740;23.5545;0.1899;23.2763;24.3219;100;-3.40E+38;3.40E+38
143;QUC 3531-2018;737;22.93;0.1955;22.4637;24.0293;100;-3.40E+38;3.40E+38
144;QUC 4470-2021;730;23.2166;0.2024;22.8371;23.8537;100;-3.40E+38;3.40E+38
145;QUC 3313-2019;720;24.2504;0.3922;23.37;24.9201;100;-3.40E+38;3.40E+38
146;QUC 3679-2016;720;22.8472;0.2062;22.5001;23.841;100;-3.40E+38;3.40E+38
147;QUC 4636-2021;731;24.7647;0.1642;24.0102;25.1942;100;-3.40E+38;3.40E+38
148;QUC 3572-2018;730;23.7968;0.177;23.1922;24.3669;100;-3.40E+38;3.40E+38
149;QUC 3635-2020;720;23.5536;0.2267;23.0198;24.2808;100;-3.40E+38;3.40E+38
150;QUC 3419-2020;720;23.4696;0.4764;22.9541;26.9292;100;-3.40E+38;3.40E+38
151;QUC 3581-2018;720;24.2158;0.7115;23.25;28.5943;100;-3.40E+38;3.40E+38
152;QUC 3588-2020;720;23.8518;0.4328;23.1088;26.0151;100;-3.40E+38;3.40E+38
153;QUC 4539-2021;730;23.2743;0.2482;22.7048;25.2029;100;-3.40E+38;3.40E+38
154;QUC 3507-2020;731;23.2522;0.2754;22.8643;24.2958;100;-3.40E+38;3.40E+38
155;QUC 3501-2020;720;23.071;0.2729;22.7624;24.2945;100;-3.40E+38;3.40E+38
156;QUC 3595-2020;720;23.4492;0.3342;22.9797;25.053;100;-3.40E+38;3.40E+38
157;QUC 3319-2020;730;23.2076;0.1793;22.8004;23.8181;100;-3.40E+38;3.40E+38
158;QUC 3598-2020;740;23.917;0.2379;22.811;24.6387;100;-3.40E+38;3.40E+38
159;QUC 3597-2020;740;23.0311;0.2706;22.4842;23.9679;100;-3.40E+38;3.40E+38
160;QUC 3679-2016  ;419;22.6685;0.1769;22.454;23.3464;100;-3.40E+38;3.40E+38
161;QUC 3634-2020;730;23.378;0.1962;22.8424;24.1253;100;-3.40E+38;3.40E+38
162;QUC 3418-2020;740;23.069;0.2256;22.6566;24.3729;100;-3.40E+38;3.40E+38
163;CBC 509 CHILE/SOMAT_3.1//BOOMER_18/LOTUS_4/6/ZAMPULLIN_2/GUANAY/5/NETTA_4/DUKEM_12//RASCON_19/3/SORA/2*PLATA_12/4/GREEN_18/FOCHA_1//AIRON_1/7/ZAKA/3/AJAIA_12/F3LOCAL(SEL.ETHIO.135.85)//PLATA_13/4/SOOTY_9/RASCON_37//WODUCK/CHAM_3/8/SELIM//SOUAI/FUMA_1;740;23.5606;0.1582;23.2951;24.8736;100;-3.40E+38;3.40E+38
164;QUC 3310-2020;740;24.4537;0.4109;23.9353;26.8479;100;-3.40E+38;3.40E+38
165;QUC 3656-2020;751;23.6341;0.2725;23.3174;24.7575;100;-3.40E+38;3.40E+38
166;QUC 4533-2021;750;23.9943;0.2128;23.5651;24.8462;100;-3.40E+38;3.40E+38
167;QUC 3589-2020;740;24.6909;0.283;23.7977;25.1673;100;-3.40E+38;3.40E+38
168;QUC 3536-2018;740;23.4997;0.2452;23.0046;24.4338;100;-3.40E+38;3.40E+38
169;QUC 3558-2018;751;23.6236;0.5315;22.8946;25.6396;100;-3.40E+38;3.40E+38
170;QUC 3522-2020;760;25.2629;0.2809;24.4711;26.8174;100;-3.40E+38;3.40E+38
171;QUC 35783-2020;760;26.1783;0.4572;24.9349;26.9794;100;-3.40E+38;3.40E+38
172;QUC 3313-2020;750;24.8977;0.206;24.3697;26.6021;100;-3.40E+38;3.40E+38
173;QUC 3529-2017;751;23.9415;0.2763;23.4241;24.7716;100;-3.40E+38;3.40E+38
174;QUC 3545-2020;760;26.3971;0.2683;25.6784;27.6448;100;-3.40E+38;3.40E+38
175;QUC 3519-2022;741;25.338;0.3563;24.6682;26.6798;100;-3.40E+38;3.40E+38
176;QUC 4628-2021;741;25.8614;0.6202;25.2096;28.5259;100;-3.40E+38;3.40E+38
177;QUC 4222-2021;760;26.4552;0.4246;25.6582;29.4006;100;-3.40E+38;3.40E+38
178;QUC 4548-2021;751;25.9532;0.429;24.9854;28.1901;100;-3.40E+38;3.40E+38
179;QUC 3534-2018  ;750;25.1007;0.3314;24.4796;26.0235;100;-3.40E+38;3.40E+38
180;QUC 3663-2020;760;25.9107;0.2183;25.2208;26.8985;100;-3.40E+38;3.40E+38
181;QUC 3526-2022;760;24.1572;0.4623;23.459;25.5514;100;-3.40E+38;3.40E+38
182;QUC 4614-2021;751;23.3517;0.4091;22.5712;25.0626;100;-3.40E+38;3.40E+38
183;QUC 3573-2020;740;23.553;1.1384;22.7801;28.295;100;-3.40E+38;3.40E+38
184;QUC 3533-2022;740;23.5657;1.0334;22.7955;28.0828;100;-3.40E+38;3.40E+38
185;QUC 4553-2021;750;23.7768;0.3659;23.2378;25.9512;100;-3.40E+38;3.40E+38
186;QUC 4224-2021;751;23.731;0.1843;23.3397;24.3647;100;-3.40E+38;3.40E+38
187;QUC 3315-2019;740;23.9952;0.2986;23.4785;24.9786;100;-3.40E+38;3.40E+38
