Genotipo,Caracteristica,Ambient Humidity,Ambient Pressure,Ambient Temperature,ECS_tau,ECSt mAU,FmPrime,FoPrime,Fs,FvP_over_FmP,gH+,kP700,leaf angle,Leaf Temperature,Leaf Temperature Differenial,Leaf Temperature Differential,leaf_thickness,LEF,Light Intensity (PAR),NPQt,P700_DIRK_ampl,Phi2,PhiNO,PhiNPQ,PS1 Active Centers,PS1 Open Centers,PS1 Over Reduced Centers,PS1 Oxidized Centers,qL,SPAD,tP700,v_initial_P700,vH+,Longitude,Estado Fenológico,Chl,Flav,Anth,NBI,temp,Valor,Intensity,Hue,Saturation,Lightness,a*,b*,u*,v*,GA,GGA,CSI,Area,Mean,Min,Max
QUC 3328-2019,Stay green,32.3584,988.31128,31.14,0.0125,-0.00043,2616.89,1142.0,1597.0,0.564,79.952,528.1575,77359.0,29.87,-1.27,-1.27,0.18,87.46,498.335,2.779,0.00023,0.39,0.162,0.449,2189.0,0.865,-0.131,0.266,0.494,54.017,0.0019,0.1214762,-0.034,,1.0,32531.0,2072.0,0.225,15.7,33.96,0.46,0.3820524,37.081665,0.2940607,44.33988,1.6252275,26.842035,14.876899,27.798063,0.022046512,0.000279,98.73417722,566.0,39.1668,33.0932,42.9059
QUC 3328-2019,Stay green,26.49902,993.45331,29.36,0.0106,0.00163,2698.83,1876.0,2397.67,0.305,94.705,176.2658,9355.0,26.11,-3.25,-3.25,0.14,87.29,1731.976,10.126,0.00126,0.112,0.08,0.809,1427.0,0.033,-0.205,1172.0,0.286,44.195,0.0057,0.2220949,0.154,-7228247833333330.0,2.0,18615.0,1763.0,0.462,10.56,25.74,0.37,0.6131334,69.23145,0.039479315,65.49412,-6.167182,13.442435,-1.482347,18.493444,0.689423559,0.248421053,63.96684601,594.0,34.4053,29.9121,39.3133
QUC 3328-2019,Stay green,28.66309,993.14209,27.51,0.0106,-0.00221,2508.64,1266.0,2122.0,0.495,94.512,111.444,1.12,25.47,-2.04,-2.04,0.19,120.29,1735.718,3.972,0.00139,0.154,0.17,0.676,3463.0,0.155,0.144,0.701,0.186,55.095,0.009,0.1549072,-0.209,-718819407.0,2.0,29751.0,1934.0,0.3,15.39,26.92,0.39,0.57641387,72.32619,0.08992857,63.363663,-8.763284,18.83892,-2.6414473,25.166674,0.873385013,0.17870801,79.53846154,603.0,34.5619,31.0921,38.7833
QUC 3328-2019,Stay green,29.98535,994.49695,26.64,0.0088,-0.00143,1997.5,1124.0,1785.0,0.437,113.416,176.6908,2392.0,26.93,0.29,0.29,0.21,107.15,2246.377,5.279,0.00118,0.106,0.142,0.751,2719.0,0.287,0.037,0.676,0.153,52.512,0.0057,0.2084951,-0.162,-718819407.0,2.0,40208.0,1811.0,0.254,22.21,26.9,0.37,0.6131334,69.23145,0.039479315,65.49412,-6.167182,13.442435,-1.482347,18.493444,0.689423559,0.248421053,63.96684601,594.0,34.4053,29.9121,39.3133
QUC 3328-2019,Stay green,31.40039,994.91705,26.81,0.0075,0.00168,2757.72,1882.0,2476.67,0.318,133.526,182.6445,6939.0,25.77,-1.04,-1.04,0.25,103.89,2263.495,9.488,0.00166,0.102,0.086,0.812,2052.0,0.234,-0.045,0.812,0.244,53.727,0.0055,0.3031899,0.224,-7228185833333330.0,2.0,27567.0,1732.0,0.351,15.91,25.81,0.39,0.57641387,72.32619,0.08992857,63.363663,-8.763284,18.83892,-2.6414473,25.166674,0.873385013,0.17870801,79.53846154,603.0,34.5619,31.0921,38.7833
QUC 3328-2019,Stay green,24.0625,993.1944,33.89,0.0086,0.00077,3388.73,2223.0,2581.67,0.344,115.866,136.4176,9286.0,34.69,0.8,0.8,0.35,78.05,728.745,8.306,0.00077,0.238,0.082,0.68,2.211,0.288,0.267,0.445,0.596,55.29,0.0073,0.1050416,0.089,-7228200666666660.0,3.0,28663.0,1964.0,0.321,14.6,27.48,0.4,0.40125787,32.12602,0.27838725,45.816734,4.1962185,26.228024,18.652082,27.12471,0.000141,0.0,100.0,569.0,40.526,37.047,45.139
QUC 3328-2019,Stay green,18.16699,992.03784,36.62,0.0113,0.00084,1039.57,802.0,827.33,0.229,88.429,139.6135,4722.0,37.03,0.41,0.41,0.27,108.46,1181.451,15.474,0.00097,0.204,0.048,0.748,1.396,0.217,-0.009,0.792,0.866,47.986,0.0072,0.1354251,0.074,-716334748.0,3.0,27108.0,1574.0,0.294,17.22,35.26,0.4,0.40125787,32.12602,0.27838725,45.816734,4.1962185,26.228024,18.652082,27.12471,0.000141,0.0,100.0,569.0,40.526,37.047,45.139
QUC 3328-2019,Stay green,21.11426,992.79565,33.11,0.0054,0.00043,1192.91,921.0,1066.0,0.228,185.457,123.1845,4954.0,35.43,2.32,2.32,0.21,84.74,1776.45,15.529,0.00099,0.106,0.054,0.84,2.385,0.021,0.396,0.583,0.403,46.042,0.0081,0.1219527,0.08,-716334748.0,3.0,16655.0,1797.0,0.404,9.27,35.19,0.4,0.40576458,34.624077,0.29391783,46.72575,3.180504,27.85837,17.890844,28.946625,0.000563,0.0,100.0,292.0,43.606,40.374,45.137
QUC 3328-2019,Stay green,18.87695,992.3443,36.65,0.0082,0.00047,993.66,873.0,909.33,0.121,122.336,138.1749,12267.0,39.65,3.0,3.0,0.06,56.31,1472.056,34.308,0.00041,0.085,0.026,0.889,0.518,0.442,-1514.0,2.072,0.671,22.216,0.0072,0.0566517,0.057,-7228252666666660.0,3.0,30366.0,1917.0,0.331,15.84,27.27,0.4,0.40576458,34.624077,0.29391783,46.72575,3.180504,27.85837,17.890844,28.946625,0.000563,0.0,100.0,292.0,43.606,40.374,45.137
QUC 3328-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,8787.0,,0.274,,35.38,0.15,0.52028316,25.446075,0.20382345,56.90554,6.5084815,24.81192,22.905718,27.562647,0.000155,0.0,100.0,496.0,47.371,41.3779,53.6772
QUC 3328-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,7403.0,,0.345,,31.38,0.12,0.5202692,26.878063,0.21707231,57.188236,6.30022,26.145943,23.226063,28.965149,0.000161,0.0,100.0,462.0,48.5073,43.1597,53.9199
QUC 3328-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,16269.0,1151.0,,14.13,31.25,0.15,0.52028316,25.446075,0.20382345,56.90554,6.5084815,24.81192,22.905718,27.562647,0.000155,0.0,100.0,496.0,47.371,41.3779,53.6772
QUC 3328-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,0.12,0.5202692,26.878063,0.21707231,57.188236,6.30022,26.145943,23.226063,28.965149,0.000161,0.0,100.0,462.0,48.5073,43.1597,53.9199
QUC 3401-2020,Senescencia normal,28.24121,987.75189,33.58,0.0239,0.00024,1452.41,1101.0,1343.33,0.242,41.758,77.8364,10117.0,33.93,0.35,0.35,0.13,93.64,2774.496,14.29,0.00064,0.075,0.06,0.864,1841.0,0.162,0.4,0.438,0.254,15.526,0.0128,0.0498153,0.01,-72282275.0,1.0,36195.0,1729.0,0.245,20.94,35.05,0.54,0.35319725,45.162342,0.27631313,41.552876,-2.4414496,24.812326,7.972974,26.185421,0.074150268,0.0,100.0,576.0,36.7815,33.9645,41.2616
