Genotipo,Hoja,cara,Chl,Flav,Anth,NBI,temp,Estado Fenológico,Valorgs,Intensity,Hue,Saturation,Lightness,a*,b*,u*,v*,GA,GGA,CSI,Area,Mean,Min,Max,Caracteristica,Ambient Humidity,Ambient Pressure,Ambient Temperature,ECS_tau,ECSt mAU,FmPrime,FoPrime,Fs,FvP_over_FmP,gH+,kP700,leaf angle,Leaf Temperature,Leaf Temperature Differenial,Leaf Temperature Differential,leaf_thickness,LEF,Light Intensity (PAR),NPQt,P700_DIRK_ampl,Phi2,PhiNO,PhiNPQ,PS1 Active Centers,PS1 Open Centers,PS1 Over Reduced Centers,PS1 Oxidized Centers,qL,SPAD,tP700,v_initial_P700,vH+,Latitude,Longitude
QUC 3409-2020,Hoja 1,sup,49239.0,1805.0,0.225,27.27,26.27,1,0.745,0.28766868,94.0277,0.22776377,36.46678,-15.796304,22.108274,-10.557136,24.96636,0.974864572,0.969664139,0.533451878,666,23.389,22.559,25.389,2.0,30.8466825,996.088485,29.175,0.008924999999999999,-0.0008475,4411.98,1934.25,3201.0825,0.5315000000000001,125.80574999999999,203.95785,9484.75,27.105,-2.07,-2.07,0.23500000000000001,120.82249999999999,1317.091,3.4995000000000003,0.001035,0.23500000000000001,0.1805,0.585,3.104035,0.161,0.06574999999999998,346.1775,0.255,52.0255,0.00575,0.178164,-0.07350000000000001,-1826752849384091.0,-3595623276076355.0
QUC 3409-2020,Hoja 1,sup,49239.0,1805.0,0.225,27.27,26.27,1,0.745,0.32382953,99.86814,0.18055457,40.243397,-16.577269,21.183952,-11.996784,25.287912,0.977573131,0.977248104,0.033248365,648,21.647,20.563,23.575,2.0,30.8466825,996.088485,29.175,0.008924999999999999,-0.0008475,4411.98,1934.25,3201.0825,0.5315000000000001,125.80574999999999,203.95785,9484.75,27.105,-2.07,-2.07,0.23500000000000001,120.82249999999999,1317.091,3.4995000000000003,0.001035,0.23500000000000001,0.1805,0.585,3.104035,0.161,0.06574999999999998,346.1775,0.255,52.0255,0.00575,0.178164,-0.07350000000000001,-1826752849384091.0,-3595623276076355.0
QUC 3409-2020,Hoja 1,sup,49239.0,1805.0,0.225,27.27,26.27,1,0.745,0.28545114,85.47149,0.23177505,35.50322,-12.856974,21.293514,-7.181152,23.525362,0.971648352,0.823736264,15.22280027,693,22.333,21.402,24.1,2.0,30.8466825,996.088485,29.175,0.008924999999999999,-0.0008475,4411.98,1934.25,3201.0825,0.5315000000000001,125.80574999999999,203.95785,9484.75,27.105,-2.07,-2.07,0.23500000000000001,120.82249999999999,1317.091,3.4995000000000003,0.001035,0.23500000000000001,0.1805,0.585,3.104035,0.161,0.06574999999999998,346.1775,0.255,52.0255,0.00575,0.178164,-0.07350000000000001,-1826752849384091.0,-3595623276076355.0
QUC 3409-2020,Hoja 2,sup,47241.0,1727.0,0.229,27.35,26.26,1,0.745,0.2995879,82.95052,0.36722958,39.84403,-17.631958,30.93534,-10.496686,33.22657,0.972967033,0.728021978,25.17506212,702,20.555,19.72,22.003,2.0,30.8466825,996.088485,29.175,0.008924999999999999,-0.0008475,4411.98,1934.25,3201.0825,0.5315000000000001,125.80574999999999,203.95785,9484.75,27.105,-2.07,-2.07,0.23500000000000001,120.82249999999999,1317.091,3.4995000000000003,0.001035,0.23500000000000001,0.1805,0.585,3.104035,0.161,0.06574999999999998,346.1775,0.255,52.0255,0.00575,0.178164,-0.07350000000000001,-1826752849384091.0,-3595623276076355.0
QUC 3409-2020,Hoja 2,sup,47241.0,1727.0,0.229,27.35,26.26,1,0.745,0.28766868,94.0277,0.22776377,36.46678,-15.796304,22.108274,-10.557136,24.96636,0.974864572,0.969664139,0.533451878,666,23.389,22.559,25.389,2.0,30.8466825,996.088485,29.175,0.008924999999999999,-0.0008475,4411.98,1934.25,3201.0825,0.5315000000000001,125.80574999999999,203.95785,9484.75,27.105,-2.07,-2.07,0.23500000000000001,120.82249999999999,1317.091,3.4995000000000003,0.001035,0.23500000000000001,0.1805,0.585,3.104035,0.161,0.06574999999999998,346.1775,0.255,52.0255,0.00575,0.178164,-0.07350000000000001,-1826752849384091.0,-3595623276076355.0
QUC 3409-2020,Hoja 2,sup,47241.0,1727.0,0.229,27.35,26.26,1,0.745,0.32382953,99.86814,0.18055457,40.243397,-16.577269,21.183952,-11.996784,25.287912,0.977573131,0.977248104,0.033248365,648,21.647,20.563,23.575,2.0,30.8466825,996.088485,29.175,0.008924999999999999,-0.0008475,4411.98,1934.25,3201.0825,0.5315000000000001,125.80574999999999,203.95785,9484.75,27.105,-2.07,-2.07,0.23500000000000001,120.82249999999999,1317.091,3.4995000000000003,0.001035,0.23500000000000001,0.1805,0.585,3.104035,0.161,0.06574999999999998,346.1775,0.255,52.0255,0.00575,0.178164,-0.07350000000000001,-1826752849384091.0,-3595623276076355.0
QUC 3409-2020,Hoja 2,sup,47241.0,1727.0,0.229,27.35,26.26,1,0.745,0.28545114,85.47149,0.23177505,35.50322,-12.856974,21.293514,-7.181152,23.525362,0.971648352,0.823736264,15.22280027,693,22.333,21.402,24.1,2.0,30.8466825,996.088485,29.175,0.008924999999999999,-0.0008475,4411.98,1934.25,3201.0825,0.5315000000000001,125.80574999999999,203.95785,9484.75,27.105,-2.07,-2.07,0.23500000000000001,120.82249999999999,1317.091,3.4995000000000003,0.001035,0.23500000000000001,0.1805,0.585,3.104035,0.161,0.06574999999999998,346.1775,0.255,52.0255,0.00575,0.178164,-0.07350000000000001,-1826752849384091.0,-3595623276076355.0
QUC 3635-2020,Hoja 1,sup,42018.0,1926.0,0.244,21.81,26.73,1,0.8,0.24558425,93.93251,0.3103587,32.88191,-17.683147,24.637007,-11.898857,26.080662,0.977464789,0.972589382,0.498780758,684,19.539,18.586,21.384,1.0,30.908205000000002,995.9762424999999,29.19,0.0132,-0.0017375,4722.2125,1887.75,3828.2525,0.604,86.27175,259.4622,17590.0,26.19,-3.0,-3.0,0.3125,93.9,1382.3615,2.255,0.00071,0.2025,0.251,0.54625,2.8362499999999997,321.22375,0.025499999999999995,440.48925,0.1805,63.018,0.004575,0.1669637,-0.15025,-1.0047123050605604e+16,-1797813044054393.0
QUC 3635-2020,Hoja 1,sup,42018.0,1926.0,0.244,21.81,26.73,1,0.8,0.29742256,82.03967,0.4041822,40.198185,-18.293066,32.947945,-10.835472,34.896095,0.97032967,0.615824176,36.53454134,693,20.018,19.525,22.858,1.0,30.908205000000002,995.9762424999999,29.19,0.0132,-0.0017375,4722.2125,1887.75,3828.2525,0.604,86.27175,259.4622,17590.0,26.19,-3.0,-3.0,0.3125,93.9,1382.3615,2.255,0.00071,0.2025,0.251,0.54625,2.8362499999999997,321.22375,0.025499999999999995,440.48925,0.1805,63.018,0.004575,0.1669637,-0.15025,-1.0047123050605604e+16,-1797813044054393.0
QUC 3635-2020,Hoja 1,sup,42018.0,1926.0,0.244,21.81,26.73,1,0.8,0.24348427,89.46835,0.28084618,31.500938,-14.535921,22.11907,-8.813479,23.224281,0.975886525,0.909874523,6.76431127,675,21.336,20.043,23.043,1.0,30.908205000000002,995.9762424999999,29.19,0.0132,-0.0017375,4722.2125,1887.75,3828.2525,0.604,86.27175,259.4622,17590.0,26.19,-3.0,-3.0,0.3125,93.9,1382.3615,2.255,0.00071,0.2025,0.251,0.54625,2.8362499999999997,321.22375,0.025499999999999995,440.48925,0.1805,63.018,0.004575,0.1669637,-0.15025,-1.0047123050605604e+16,-1797813044054393.0
