Parc.;Variedad ;Image Name;Intensity;Hue;Saturation;Lightness;a*;b*;u*;v*;GA;GGA;CSI
330;QUC 4637-2021;R-014_Plot-330;0.417106;52.798294;0.23278242;48.64775;-5.7512307;25.59703;4.1290116;29.231527;0.206663196;0;100
331;QUC 3528-2017;R-014_Plot-331;0.32735562;68.96725;0.2244398;39.25225;-8.819337;21.66291;-1.9281294;24.113434;0.943085199;0.024986986;97.35050598
332;QUC 4543-2021;R-014_Plot-332;0.44383204;85.76846;0.11621946;50.93294;-11.166257;18.725395;-6.1117215;23.949162;0.270345306;0.095436405;64.69833119
333;QUC 3328-2019  ;R-014_Plot-333;0.41124022;61.79529;0.21012998;48.15003;-8.048626;24.179602;0.32075953;28.264204;0.095238095;0.042892157;54.96323529
334;QUC 3423-2020;R-014_Plot-334;0.38701496;55.565933;0.3041994;46.64898;-6.997882;29.719194;3.6953957;32.537964;0.158982512;0;100
335;QUC 4542-2021;R-014_Plot-335;0.5112883;46.92881;0.31981736;59.946484;-3.866293;37.45219;12.291071;42.053066;0.004551821;0;100
336;QUC 3536-2022;R-014_Plot-336;0.44620514;53.147137;0.20115238;51.313553;-5.8729343;24.3521;3.618445;28.64826;0.103338633;0.080021198;22.56410256
337;QUC 3530-2022;R-014_Plot-337;0.37360922;55.31609;0.26549768;44.466087;-6.3888803;26.075243;3.1387308;28.77357;0.263814617;0;100
338;QUC 3214-2020;R-014_Plot-338;0.50593764;42.519295;0.32558948;58.94788;-0.9164102;37.071747;16.618551;40.818535;3.60E-04;0;100
339;QUC 3224-2020;R-014_Plot-339;0.49226284;42.37548;0.2989958;57.02186;-1.1853139;33.95273;14.815463;37.711315;5.40E-04;0;100
340;QUC 3594-2017  ;R-014_Plot-340;0.46997264;64.30896;0.18688977;54.259495;-9.073081;24.906952;-0.6288451;30.374203;0.097859327;0.053786652;45.03676471
341;QUC 3501-2020;R-014_Plot-341;0.38967776;54.525154;0.23516673;45.746014;-6.0421233;24.58475;3.1634207;27.71617;0.194444444;0;100
342;QUC 4465-2021;R-014_Plot-342;0.40115985;54.66625;0.25518024;47.372826;-6.385299;26.727255;3.5670435;30.06842;0.120733479;7.26E-04;99.39849624
343;QUC 3590-2020;R-014_Plot-343;0.38132402;52.767124;0.26257813;45.11913;-5.55791;26.0724;4.3455772;28.777138;0.09052593;1.83E-04;99.79757085
344;QUC 3417-2020;R-014_Plot-344;0.4341793;46.75775;0.26535606;50.594532;-3.5784795;28.52521;8.528402;31.873648;0.056074766;0.030053143;46.40522876
345;QUC 3593-2020;R-014_Plot-345;0.4433694;44.001972;0.29145056;51.755684;-2.1173608;30.823286;11.666058;33.861473;7.40E-04;0;100
346;QUC 3555-2020;R-014_Plot-346;0.49681547;34.812943;0.26090163;56.123463;2.7388008;29.929691;19.191982;33.08488;1.85E-04;0;100
347;QUC 3559-2020;R-014_Plot-347;0.50489205;26.680136;0.20360458;55.454903;5.5688095;24.358994;21.078604;27.071732;5.60E-04;0;100
348;QUC 3422-2020;R-014_Plot-348;0.5250538;28.058466;0.12152189;56.81581;1.1702712;18.104025;11.4875965;21.675528;0.003174603;0.002427638;23.52941176
349;QUC 3636-2020;R-014_Plot-349;0.44276905;35.28267;0.24763793;50.25988;1.8277599;26.318054;15.665857;28.71329;0.007730015;0.005844646;24.3902439
350;QUC 3573-2020;R-014_Plot-350;0.44321787;34.4738;0.24267799;50.17297;2.140805;25.853516;15.935954;28.206871;5.66E-04;0;100
351;QUC 3492-2018;R-015_Plot-351;0.3969568;39.112286;0.26583552;45.841652;0.08944929;25.84471;12.423188;27.640057;0.001319759;0;100
352;QUC 4558-2021;R-015_Plot-352;0.43423292;31.431591;0.2266435;48.753956;3.2270126;23.869257;16.580294;25.864052;0.001131222;0;100
353;QUC 3616-2020;R-015_Plot-353;0.550454;31.912504;0.14476341;59.88587;0.6878725;21.261549;12.466635;25.556906;0.020354809;0.016246499;20.18348624
354;QUC 3609-2020;R-015_Plot-354;0.45368195;29.195572;0.21370143;50.479763;4.106569;23.44987;17.907887;25.618668;5.60E-04;0;100
355;QUC 3535-2022;R-015_Plot-355;0.46194234;40.89377;0.27293652;53.19816;-0.6732933;29.944468;13.6511135;33.152454;5.55E-04;0;100
356;QUC 3502-2020;R-015_Plot-356;0.55815035;37.100704;0.18598253;61.6321;-0.36379302;25.951666;13.152638;30.930662;0.047354791;0.038290788;19.140625
357;QUC 3586-2020;R-015_Plot-357;0.48094878;34.039528;0.27839828;54.592438;3.6773055;30.530897;20.722857;33.076378;5.50E-04;0;100
358;QUC 3409-2020;R-015_Plot-358;0.42050064;40.108803;0.281483;48.727436;-0.14709893;28.363901;13.355628;30.57285;3.67E-04;0;100
